point_id,state,latitude,longitude,elevation_m,slope_deg,aspect_deg,lithology_factor,fault_dist_km,river_dist_km,ndvi,soil_thickness_m,rain_24h_mm,rain_72h_ari_mm,soil_moisture_pct,factor_of_safety,landslide_occurred,hazard_severity
PT-0368,Manipur,25.39258,94.20248,2405,37.16,50,0.84,5.19,1.07,0.47,1.53,39.7,140.5,77.7,1.53,0,LOW
PT-0369,Meghalaya,24.88592,91.77269,2066,38.81,210,0.75,3.47,1.04,0.38,1.62,1.2,31.4,56.3,1.56,0,LOW
PT-0370,Assam (Dima Hasao),25.71059,93.1757,1854,34.01,309,0.79,6.67,1.99,0.48,3.13,36.3,93.1,65.2,1.15,0,MODERATE
PT-0371,Nagaland,25.84654,94.49723,2529,37.69,341,0.95,3.48,0.44,0.37,2.71,20.2,45.1,59.5,1.17,0,MODERATE
PT-0372,Mizoram,23.33352,92.19328,2169,44.98,201,0.81,4.49,0.4,0.42,1.48,46.1,179.1,80.4,1.4,1,SEVERE
PT-0373,Nagaland,25.16449,94.26305,2097,39.25,254,0.83,5.06,2.06,0.45,1.59,45.7,155.5,79.4,1.43,0,LOW
PT-0374,Tripura,23.89377,91.7347,1076,24.09,35,0.64,6.01,2.1,0.6,2.06,136.7,210.9,93.2,1.65,0,LOW
PT-0375,Manipur,24.72623,94.61642,1863,33.69,174,0.81,4.54,1.71,0.49,1.39,24.2,70.7,62.5,1.86,0,LOW
PT-0376,Nagaland,25.83674,93.82111,2416,48.14,97,0.83,3.04,1.61,0.36,2.08,38.9,104.7,68.4,1.12,0,MODERATE
PT-0377,Tripura,24.47989,91.2697,1979,22.38,21,0.61,6.59,1.47,0.57,3.07,29.1,166.4,78.9,1.57,0,LOW
PT-0378,Nagaland,25.12425,93.55991,1839,34.19,316,0.81,5.52,0.37,0.41,1.11,78.9,169.2,78.9,2.03,0,LOW
PT-0379,Nagaland,26.06136,93.5176,2176,25.56,112,0.81,3.07,0.81,0.59,2.62,6.4,134.3,75.0,1.54,0,LOW
PT-0380,Arunachal Pradesh,27.98371,92.20172,1872,44.9,171,0.73,2.3,1.69,0.32,1.81,14.0,125.0,68.8,1.26,0,LOW
PT-0381,Manipur,25.59319,93.43876,2133,37.16,91,0.98,6.07,1.35,0.41,2.53,26.4,62.3,55.1,1.25,0,LOW
PT-0382,Mizoram,23.7477,92.60444,2017,49.53,19,0.89,5.96,1.39,0.27,2.82,27.1,134.1,71.4,0.89,1,HIGH
PT-0383,Nagaland,25.82271,94.42528,2130,47.9,237,0.95,5.19,0.68,0.3,2.75,48.6,141.9,73.0,0.91,1,HIGH
PT-0384,Sikkim,26.79483,88.43703,2527,43.43,315,0.94,5.55,0.19,0.43,3.03,77.0,172.0,79.0,0.89,1,SEVERE
PT-0385,Assam (Dima Hasao),25.43568,93.12125,2231,32.71,346,0.94,4.65,0.33,0.43,1.52,11.2,173.3,78.9,1.68,0,LOW
PT-0386,Tripura,23.38521,91.77304,2179,28.17,91,0.61,6.37,1.61,0.54,3.15,6.8,136.0,70.5,1.32,0,LOW
PT-0387,Meghalaya,24.64333,92.31864,2350,24.96,112,0.91,5.51,1.76,0.56,2.35,175.6,331.7,98.0,1.43,0,LOW
PT-0388,Tripura,24.35464,91.50973,1774,17.76,7,0.68,9.33,0.62,0.57,2.27,31.6,71.2,61.4,2.53,0,LOW
PT-0389,Sikkim,27.23133,88.05307,2238,54.18,258,0.79,3.89,1.11,0.35,2.81,13.8,121.0,66.7,0.88,1,HIGH
PT-0390,Manipur,25.79992,93.57925,2614,34.93,46,0.79,5.76,0.44,0.45,2.25,187.4,278.9,98.0,1.11,0,MODERATE
PT-0391,Manipur,24.88193,94.46586,1739,29.82,0,0.96,3.18,1.98,0.47,1.07,15.7,186.8,86.5,2.24,0,LOW
PT-0392,Assam (Dima Hasao),25.51523,92.50715,1636,43.96,28,0.86,10.02,0.86,0.31,1.84,2.1,77.6,63.6,1.29,0,LOW
PT-0393,Nagaland,25.75291,94.31829,2406,43.37,276,0.82,4.13,2.07,0.4,3.11,68.3,120.5,70.0,0.92,1,HIGH
PT-0394,Mizoram,23.72428,92.61751,2313,46.82,231,0.87,4.67,0.36,0.39,2.49,17.3,134.8,77.7,0.96,1,HIGH
PT-0395,Nagaland,25.30602,94.45077,2346,45.37,91,0.86,10.34,0.33,0.34,2.53,104.0,204.9,91.4,0.91,1,SEVERE
PT-0396,Mizoram,23.61984,92.92888,2034,47.73,215,0.86,5.39,0.71,0.28,2.92,147.3,268.7,98.0,0.77,1,SEVERE
PT-0397,Arunachal Pradesh,27.76691,92.19419,2385,32.94,271,0.89,2.97,0.74,0.42,2.74,15.1,110.0,73.9,1.2,0,MODERATE
PT-0398,Sikkim,26.90801,88.34126,2137,52.02,82,0.92,2.84,2.14,0.37,2.52,11.9,66.2,55.0,1.0,0,MODERATE
PT-0399,Arunachal Pradesh,27.66943,91.77907,2513,40.53,17,0.85,11.04,0.41,0.4,3.15,6.5,25.6,54.9,1.04,0,MODERATE
PT-0400,Meghalaya,25.64735,92.87337,2830,47.06,279,0.93,4.21,1.58,0.35,1.64,49.1,158.8,76.4,1.29,0,LOW
PT-0401,Tripura,23.72642,91.38478,1723,23.87,347,0.64,6.92,0.94,0.61,1.98,2.8,123.6,73.0,1.92,0,LOW
PT-0402,Assam (Dima Hasao),25.50754,93.33051,2162,36.05,228,0.9,11.9,2.15,0.43,2.08,28.0,52.2,58.2,1.4,0,LOW
PT-0403,Manipur,24.83754,94.44456,2376,33.05,145,0.86,3.92,1.04,0.48,1.47,38.4,122.0,71.3,1.76,0,LOW
PT-0404,Meghalaya,25.47681,92.92443,2403,21.82,71,0.9,5.48,0.4,0.54,3.17,20.4,189.4,87.6,1.49,0,LOW
PT-0405,Manipur,24.76614,93.91135,1944,44.66,284,0.88,5.1,2.02,0.33,2.83,33.7,184.5,83.6,0.88,1,SEVERE
PT-0406,Mizoram,23.71292,92.99783,2811,42.12,78,0.82,10.61,1.85,0.39,2.44,23.8,120.0,73.3,1.06,0,MODERATE
PT-0407,Assam (Dima Hasao),24.60413,93.32766,2065,15.1,306,0.91,6.18,1.29,0.68,2.38,59.2,93.9,65.8,2.83,0,LOW
PT-0408,Sikkim,27.74434,88.19542,2380,48.14,354,0.81,2.45,0.67,0.34,3.01,17.1,119.5,75.7,0.85,1,HIGH
PT-0409,Assam (Dima Hasao),25.48973,92.6299,2352,45.39,278,0.82,4.95,1.87,0.42,1.6,21.3,124.5,70.9,1.36,0,LOW
PT-0410,Meghalaya,24.52548,92.3818,2348,29.97,174,0.91,3.64,0.56,0.5,2.83,30.1,158.9,84.5,1.2,0,MODERATE
PT-0411,Nagaland,25.58082,94.48924,2289,41.96,8,0.9,3.43,0.86,0.45,2.96,72.1,143.5,78.7,0.92,1,HIGH
PT-0412,Sikkim,27.62335,88.14232,2659,49.97,352,0.83,2.33,0.37,0.27,2.52,8.5,151.3,80.9,0.92,1,HIGH
PT-0413,Sikkim,26.96562,88.03935,1873,36.6,240,0.8,2.73,0.24,0.47,2.66,46.4,95.3,70.0,1.14,0,MODERATE
PT-0414,Meghalaya,25.31472,91.79511,2519,43.58,142,0.92,4.27,0.44,0.39,2.6,42.2,73.6,62.0,1.05,0,MODERATE
PT-0415,Sikkim,27.36461,88.85897,2222,46.49,275,0.78,5.23,2.04,0.43,2.87,59.9,105.4,69.9,0.92,1,HIGH
PT-0416,Nagaland,25.29702,93.81579,2331,35.21,116,0.88,6.08,0.76,0.45,2.14,22.4,85.0,65.9,1.36,0,LOW
PT-0417,Nagaland,25.47374,93.52887,2628,36.87,159,0.94,7.1,0.57,0.43,3.17,97.2,259.8,98.0,0.86,1,SEVERE
PT-0418,Arunachal Pradesh,27.19516,92.44847,2348,40.47,224,0.82,4.32,0.35,0.4,2.53,38.4,200.7,85.8,1.0,1,SEVERE
PT-0419,Arunachal Pradesh,28.15025,91.65636,1738,25.03,62,0.77,2.88,1.15,0.58,2.69,70.6,217.8,97.3,1.32,0,LOW
PT-0420,Arunachal Pradesh,27.55099,91.9738,2567,36.88,142,0.75,3.02,0.36,0.44,1.51,6.3,143.0,79.8,1.54,0,LOW
PT-0421,Tripura,24.13373,92.41649,2064,17.63,78,0.59,8.44,1.7,0.63,2.14,31.4,94.8,65.8,2.56,0,LOW
PT-0422,Mizoram,23.77093,93.08138,2183,38.63,16,0.97,8.1,0.35,0.42,2.88,1.8,46.0,56.7,1.13,0,MODERATE
PT-0423,Mizoram,24.18164,92.30697,2327,34.11,199,0.87,3.09,1.52,0.49,2.51,32.3,188.3,86.5,1.13,0,MODERATE
PT-0424,Manipur,24.97607,94.12925,2495,29.89,145,0.85,3.07,0.19,0.55,1.77,6.2,168.3,80.4,1.62,0,LOW
PT-0425,Nagaland,25.59378,94.58033,2227,36.82,125,0.85,5.11,1.34,0.51,1.14,20.6,38.9,51.8,2.07,0,LOW
PT-0426,Tripura,24.10932,91.75697,1676,18.19,10,0.67,8.22,2.17,0.58,1.86,82.6,114.1,71.9,2.58,0,LOW
PT-0427,Arunachal Pradesh,27.57608,92.22375,2156,41.75,153,0.79,2.93,1.14,0.46,2.73,29.1,91.5,60.6,1.07,0,MODERATE
PT-0428,Manipur,25.62552,94.16949,1984,49.51,296,0.81,4.03,0.24,0.39,2.05,79.4,201.9,87.4,1.04,1,SEVERE
PT-0429,Mizoram,23.63949,92.75794,2537,42.35,319,0.87,5.58,1.25,0.46,2.38,10.3,107.7,70.3,1.09,0,MODERATE
PT-0430,Tripura,23.64152,92.01551,1071,31.31,222,0.72,9.24,0.23,0.44,2.02,68.6,209.9,94.6,1.33,0,LOW
PT-0431,Manipur,25.04238,94.41626,2223,42.65,211,0.84,3.85,0.44,0.42,1.52,8.1,27.7,54.1,1.54,0,LOW
PT-0432,Mizoram,23.67699,92.78179,2397,30.04,18,0.81,3.6,0.16,0.55,1.61,51.7,73.7,63.4,1.85,0,LOW
PT-0433,Sikkim,26.79639,89.07581,2540,39.53,32,0.96,3.31,0.86,0.45,1.2,37.6,75.8,57.8,1.87,0,LOW
PT-0434,Nagaland,25.70635,94.38478,1912,55.51,128,0.9,2.74,1.36,0.33,1.69,38.2,186.2,88.4,1.2,1,SEVERE
PT-0435,Manipur,24.92161,93.54818,2403,39.34,209,0.84,5.23,1.13,0.4,3.09,27.6,155.3,83.8,0.91,1,HIGH
PT-0436,Meghalaya,24.9456,92.61881,1994,36.67,310,0.74,6.56,1.78,0.37,3.02,16.4,94.9,67.3,1.08,0,MODERATE
PT-0437,Arunachal Pradesh,28.06379,92.0723,2284,38.62,226,0.8,7.51,0.93,0.5,1.56,86.5,140.4,73.0,1.5,0,LOW
PT-0438,Meghalaya,25.60907,92.51762,1649,45.3,208,0.89,4.0,0.27,0.42,2.08,46.7,116.6,69.9,1.14,0,MODERATE
PT-0439,Nagaland,26.06928,94.22818,2152,32.02,308,0.95,4.48,0.79,0.51,2.68,13.3,101.5,68.7,1.29,0,LOW
PT-0440,Sikkim,27.21079,88.75396,2403,40.79,80,0.83,5.13,1.71,0.43,1.29,26.4,196.4,87.7,1.58,1,SEVERE
PT-0441,Meghalaya,24.82282,92.58496,1504,42.24,101,0.75,4.35,0.93,0.38,2.84,1.0,19.8,49.9,1.09,0,MODERATE
PT-0442,Assam (Dima Hasao),25.65821,93.57895,2540,38.72,86,0.77,6.41,1.36,0.37,3.11,41.9,59.2,58.3,1.07,0,MODERATE
PT-0443,Tripura,24.31271,91.84298,1942,26.81,136,0.59,7.7,0.37,0.58,2.32,17.7,144.4,76.0,1.56,0,LOW
PT-0444,Manipur,25.61096,93.45453,2091,43.43,230,0.97,4.15,1.54,0.38,1.02,19.5,148.8,79.6,1.9,0,LOW
PT-0445,Manipur,25.51014,94.30332,2286,37.87,30,0.8,9.69,1.09,0.41,2.33,41.1,173.2,86.2,1.1,1,SEVERE
PT-0446,Sikkim,27.03439,88.74359,2601,39.57,189,0.81,7.57,0.19,0.37,1.37,20.7,112.9,65.7,1.66,0,LOW
PT-0447,Manipur,24.83015,93.56021,2180,41.77,143,0.94,9.52,0.69,0.46,2.35,16.9,83.5,67.3,1.12,0,MODERATE
PT-0448,Arunachal Pradesh,27.86424,91.83953,2202,53.09,336,0.85,2.95,0.5,0.24,1.4,8.9,101.0,63.4,1.48,0,LOW
PT-0449,Tripura,23.36895,91.67782,1319,23.8,252,0.55,9.18,0.41,0.53,1.45,90.1,228.8,98.0,2.05,0,LOW
PT-0450,Assam (Dima Hasao),25.27026,93.57595,1950,25.38,213,0.94,4.71,1.15,0.47,1.72,199.1,234.2,95.3,1.75,0,LOW
PT-0451,Nagaland,26.08437,93.57453,2486,51.34,337,0.9,4.97,0.67,0.35,1.72,48.7,138.5,79.9,1.21,0,MODERATE
PT-0452,Meghalaya,24.76364,91.81842,1817,31.89,28,0.88,5.18,1.36,0.42,1.56,73.7,154.5,74.2,1.72,0,LOW
PT-0453,Assam (Dima Hasao),24.76553,93.34539,2595,32.27,334,0.79,4.89,1.78,0.52,3.03,32.2,106.4,64.4,1.23,0,MODERATE
PT-0454,Arunachal Pradesh,27.59518,91.83755,2077,50.41,288,0.84,1.74,0.99,0.31,1.41,9.2,108.9,73.7,1.44,0,LOW
PT-0455,Assam (Dima Hasao),25.34713,93.26636,1844,43.32,331,0.86,4.86,1.02,0.45,2.05,6.8,170.8,86.0,1.1,1,SEVERE
PT-0456,Manipur,25.01458,93.47727,2179,40.02,55,0.89,4.33,1.08,0.45,2.79,44.0,185.8,81.0,0.97,1,SEVERE
PT-0457,Tripura,23.53546,91.46865,1800,23.55,152,0.59,9.22,1.69,0.55,2.78,125.1,273.8,98.0,1.36,0,LOW
PT-0458,Nagaland,25.97644,94.11486,2045,41.46,273,0.8,3.76,0.13,0.43,2.01,53.6,191.4,89.4,1.12,1,SEVERE
PT-0459,Mizoram,23.8622,93.27871,2602,32.8,353,0.91,6.88,0.28,0.42,1.42,36.3,82.4,58.4,1.9,0,LOW
PT-0460,Tripura,24.09835,92.02969,1902,16.33,275,0.57,6.89,1.07,0.61,1.05,8.3,139.2,80.3,3.0,0,LOW
PT-0461,Tripura,23.34355,91.78942,2002,26.29,200,0.54,6.02,1.42,0.57,3.15,38.2,151.5,78.9,1.33,0,LOW
PT-0462,Mizoram,23.16442,92.58962,2152,28.0,347,0.95,7.86,0.59,0.45,1.04,40.3,99.5,68.4,2.57,0,LOW
PT-0463,Tripura,23.46033,91.99724,1406,21.03,223,0.53,6.85,0.5,0.55,1.51,119.9,190.9,88.0,2.35,0,LOW
PT-0464,Tripura,23.47739,91.60207,848,21.43,344,0.66,7.12,1.09,0.65,1.36,58.7,87.9,64.2,2.76,0,LOW
PT-0465,Meghalaya,24.74938,92.4869,2275,42.27,252,0.79,3.79,0.2,0.32,2.94,8.6,160.2,84.2,0.89,1,SEVERE
PT-0466,Sikkim,27.69818,88.40528,2434,46.06,287,0.82,2.75,0.81,0.34,1.1,17.0,56.9,59.4,1.85,0,LOW
PT-0467,Nagaland,25.92769,94.50196,2312,31.33,56,0.98,6.3,1.38,0.55,1.22,35.4,78.0,58.3,2.18,0,LOW
PT-0468,Assam (Dima Hasao),25.66318,92.59844,2389,32.88,259,0.86,9.11,0.42,0.45,2.8,11.3,186.3,88.7,1.08,0,MODERATE
PT-0469,Sikkim,27.02438,88.97097,2618,37.17,43,0.83,5.14,0.97,0.46,1.54,28.8,173.7,79.6,1.51,0,LOW
PT-0470,Manipur,25.15609,93.91117,2305,23.82,349,0.86,3.08,0.41,0.47,2.77,8.8,75.7,66.5,1.69,0,LOW
PT-0471,Meghalaya,25.03089,92.23192,2242,52.5,77,0.91,3.35,1.43,0.35,2.45,17.5,98.8,68.5,0.97,1,HIGH
PT-0472,Mizoram,23.98586,92.48643,2744,32.16,270,0.89,3.2,0.95,0.51,2.95,32.8,120.8,70.0,1.21,0,MODERATE
PT-0473,Manipur,25.59048,94.47717,2349,46.04,199,0.94,6.37,0.36,0.45,1.62,40.1,141.1,78.6,1.31,0,LOW
PT-0474,Meghalaya,24.53811,92.82838,1992,30.38,155,0.88,14.05,0.33,0.43,1.82,21.0,43.9,56.2,1.76,0,LOW
PT-0475,Nagaland,25.61848,94.07692,2175,45.82,120,0.96,13.77,1.29,0.43,2.38,45.3,118.1,68.8,1.04,0,MODERATE
PT-0476,Meghalaya,25.36722,92.3836,2371,36.1,298,0.77,6.97,1.05,0.39,1.94,4.8,89.9,61.1,1.44,0,LOW
PT-0477,Assam (Dima Hasao),25.1054,92.85315,1948,25.14,265,0.92,9.14,1.33,0.56,3.19,47.7,183.4,84.5,1.33,0,LOW
PT-0478,Meghalaya,24.68322,91.91255,1881,35.05,262,0.9,3.51,0.55,0.45,2.64,21.6,193.7,88.6,1.06,0,MODERATE
PT-0479,Manipur,24.7924,93.8635,2542,35.75,60,0.86,14.78,0.74,0.45,2.74,44.5,67.5,63.8,1.19,0,MODERATE
PT-0480,Mizoram,23.3787,93.09295,2212,36.18,178,0.78,2.91,1.11,0.42,2.0,23.7,176.4,87.1,1.25,1,SEVERE
PT-0481,Meghalaya,25.42434,92.36572,2152,28.05,229,0.76,6.45,0.29,0.54,2.37,115.3,186.2,81.4,1.43,0,LOW
PT-0482,Tripura,24.2031,92.0251,1300,33.83,292,0.66,9.69,0.75,0.49,2.42,155.2,259.6,98.0,1.09,0,MODERATE
PT-0483,Assam (Dima Hasao),25.47067,93.01317,2085,45.91,272,0.8,4.05,1.75,0.33,2.55,25.0,173.1,84.2,0.93,1,SEVERE
PT-0484,Manipur,25.36667,94.00977,2001,44.25,92,0.87,7.91,0.77,0.34,1.25,9.2,48.0,53.1,1.74,0,LOW
PT-0485,Nagaland,25.26507,94.5326,2055,37.87,166,0.84,5.62,0.73,0.37,1.31,16.6,187.0,90.1,1.62,1,SEVERE
PT-0486,Sikkim,26.97307,88.90256,2060,34.5,258,0.86,2.31,0.23,0.46,1.9,26.2,79.8,66.4,1.48,0,LOW
PT-0487,Mizoram,23.78489,92.81341,2553,50.22,333,0.93,3.71,0.95,0.26,2.4,172.0,248.6,98.0,0.88,1,SEVERE
PT-0488,Assam (Dima Hasao),25.21504,92.9185,1822,41.98,0,0.92,12.12,1.4,0.42,1.37,127.4,187.5,83.8,1.51,1,SEVERE
PT-0489,Manipur,25.85909,94.43093,2782,41.33,144,0.8,6.36,1.28,0.37,1.87,7.5,114.3,67.9,1.3,0,LOW
PT-0490,Manipur,24.91302,94.02578,1442,43.0,175,0.92,12.74,1.59,0.36,2.46,11.8,185.0,84.0,0.99,1,SEVERE
PT-0491,Meghalaya,25.28573,91.76246,2170,20.03,344,0.76,5.23,1.56,0.58,1.86,104.7,227.2,95.4,2.05,0,LOW
PT-0492,Tripura,24.1267,91.67359,1104,31.4,183,0.61,10.57,1.8,0.57,1.27,10.7,27.2,53.4,2.16,0,LOW
PT-0493,Mizoram,23.93667,92.96104,2801,44.96,320,0.83,5.96,0.59,0.37,1.8,117.4,249.0,96.9,1.14,1,SEVERE
PT-0494,Assam (Dima Hasao),25.75112,93.17612,2206,39.63,256,0.86,6.01,1.49,0.43,2.5,3.4,39.6,49.4,1.23,0,MODERATE
PT-0495,Mizoram,24.24028,93.13657,1815,48.89,140,0.81,5.63,2.18,0.37,2.17,41.1,131.0,78.2,1.04,0,MODERATE
PT-0496,Sikkim,27.75463,88.3876,1973,46.28,62,0.92,3.57,0.86,0.41,2.94,16.3,100.6,66.6,0.92,1,HIGH
PT-0497,Sikkim,27.20023,88.40165,1835,51.93,115,0.98,3.38,0.26,0.28,1.36,49.2,80.2,62.4,1.52,0,LOW
PT-0498,Sikkim,27.44104,88.75156,2499,39.12,55,0.87,9.97,1.85,0.48,2.14,3.8,117.8,70.3,1.23,0,MODERATE
PT-0499,Nagaland,25.83042,94.08472,2228,41.28,17,0.88,8.02,1.56,0.45,1.14,7.5,123.3,71.4,1.82,0,LOW
PT-0500,Nagaland,25.89308,94.06111,2494,36.95,49,0.92,3.82,1.92,0.49,2.37,31.2,116.8,71.9,1.2,0,MODERATE
PT-0501,Nagaland,25.48754,94.5151,1788,40.7,168,0.92,2.79,0.13,0.44,2.3,45.7,81.5,63.0,1.18,0,MODERATE
PT-0502,Arunachal Pradesh,27.48521,92.11955,2429,38.74,22,0.73,2.43,1.02,0.5,2.66,108.2,251.2,96.7,0.93,1,SEVERE
PT-0503,Mizoram,23.844,92.45928,2121,48.9,336,0.91,2.95,1.16,0.4,2.89,10.9,59.0,62.1,0.92,1,HIGH
PT-0504,Nagaland,25.48986,94.19143,1232,31.78,307,0.94,7.28,1.29,0.46,1.66,5.5,165.1,85.4,1.57,0,LOW
PT-0505,Tripura,23.58329,91.25444,1959,26.92,319,0.57,7.64,1.71,0.58,2.78,25.6,176.9,79.0,1.38,0,LOW
PT-0506,Sikkim,26.81848,88.03602,2462,46.66,99,0.91,8.1,0.86,0.44,1.44,12.4,70.6,57.3,1.52,0,LOW
PT-0507,Assam (Dima Hasao),24.78425,92.43579,1383,44.08,10,0.93,4.37,1.48,0.44,1.74,30.5,106.5,67.2,1.32,0,LOW
PT-0508,Meghalaya,25.63939,92.93252,2049,51.49,33,0.75,8.56,0.37,0.27,2.17,19.3,105.2,69.5,1.05,0,MODERATE
PT-0509,Sikkim,27.6457,88.70479,2038,45.82,76,0.85,2.14,1.77,0.43,2.87,44.9,94.4,61.6,0.96,1,HIGH
PT-0510,Tripura,24.2692,91.98786,2011,29.69,330,0.68,7.17,1.19,0.45,2.57,33.0,205.7,90.0,1.23,0,MODERATE
PT-0511,Manipur,25.42573,94.36875,1937,34.99,103,0.88,3.67,0.56,0.45,1.83,92.4,149.4,73.7,1.45,0,LOW
PT-0512,Nagaland,25.43406,94.01258,2265,39.27,262,0.92,3.89,1.08,0.41,2.77,24.1,68.7,57.5,1.13,0,MODERATE
PT-0513,Nagaland,25.51091,93.4889,1814,43.94,329,0.82,3.31,0.58,0.32,1.79,20.3,146.7,74.8,1.26,0,LOW
PT-0514,Mizoram,23.34877,92.83484,2724,49.55,278,0.95,2.82,0.73,0.39,2.72,26.0,136.7,76.6,0.89,1,HIGH
PT-0515,Tripura,24.10491,92.43713,1499,40.33,116,0.58,9.46,1.1,0.42,2.73,37.5,128.6,76.2,1.01,0,MODERATE
PT-0516,Arunachal Pradesh,27.99496,91.76455,2210,51.29,224,0.81,3.54,0.89,0.33,1.28,5.4,154.1,82.2,1.52,1,HIGH
PT-0517,Arunachal Pradesh,27.25059,91.76086,1746,44.21,353,0.83,2.49,0.15,0.43,3.03,152.5,222.0,95.1,0.8,1,SEVERE
PT-0518,Manipur,25.83621,93.66505,2404,30.83,96,0.88,4.0,2.12,0.52,1.67,56.2,100.5,70.4,1.72,0,LOW
PT-0519,Tripura,23.35221,91.4888,1527,32.29,105,0.58,8.69,0.25,0.41,2.14,98.2,181.0,81.4,1.34,0,LOW
PT-0520,Nagaland,25.23497,93.8921,1817,38.68,105,0.83,3.08,1.01,0.46,2.04,47.3,159.2,80.0,1.22,0,MODERATE
PT-0521,Tripura,23.65053,91.25893,1809,27.7,204,0.65,6.71,0.79,0.53,2.08,2.0,32.0,53.5,1.81,0,LOW
PT-0522,Tripura,23.73614,92.26117,1373,27.96,89,0.61,6.49,1.4,0.51,1.85,36.4,67.2,61.8,1.83,0,LOW
PT-0523,Sikkim,27.01763,89.04465,2756,40.43,149,0.91,2.17,1.63,0.48,3.0,71.7,106.7,67.2,1.0,0,MODERATE
PT-0524,Nagaland,25.68527,94.32541,2277,35.2,106,0.9,4.05,0.25,0.49,2.65,68.5,224.7,93.4,1.03,0,MODERATE
PT-0525,Sikkim,27.03073,88.85092,2664,49.31,237,0.88,2.18,1.25,0.3,3.09,85.9,239.8,94.5,0.75,1,SEVERE
PT-0526,Sikkim,27.45839,88.21268,2674,50.77,86,0.8,5.61,1.52,0.27,1.79,1.8,128.2,70.4,1.21,0,MODERATE
PT-0527,Sikkim,27.7338,88.97381,1839,34.47,52,0.86,2.92,0.21,0.38,2.7,46.8,123.6,69.6,1.19,0,MODERATE
PT-0528,Nagaland,25.09925,93.42353,2224,52.84,348,0.93,3.12,1.95,0.36,2.83,9.1,92.7,61.5,0.9,1,HIGH
PT-0529,Arunachal Pradesh,27.36722,92.00214,1763,31.6,202,0.91,1.82,0.55,0.46,1.38,19.0,98.2,66.2,1.94,0,LOW
PT-0530,Nagaland,25.86955,93.72415,2091,37.4,111,0.88,6.15,1.15,0.52,2.57,46.5,155.4,76.7,1.1,0,MODERATE
PT-0531,Nagaland,25.79984,94.5677,1667,35.26,355,0.83,2.98,1.7,0.49,3.15,8.0,25.9,54.8,1.18,0,MODERATE
PT-0532,Tripura,23.77885,92.01871,2172,27.1,6,0.58,8.4,1.98,0.49,2.62,32.9,57.8,56.5,1.63,0,LOW
PT-0533,Mizoram,23.36241,92.5609,1999,36.53,306,0.97,4.27,1.94,0.39,1.7,6.8,152.4,77.7,1.44,0,LOW
PT-0534,Mizoram,24.02066,92.38481,1881,39.26,105,0.88,8.73,1.5,0.38,2.51,32.4,110.3,67.5,1.13,0,MODERATE
PT-0535,Tripura,24.07574,91.32754,1755,10.0,26,0.66,6.38,0.53,0.6,2.3,46.9,100.9,63.0,3.0,0,LOW
PT-0536,Tripura,23.69376,92.11601,1927,26.15,127,0.59,8.15,2.13,0.48,2.9,150.8,225.1,93.3,1.26,0,LOW
PT-0537,Tripura,23.84965,91.85635,1121,24.8,246,0.53,7.2,1.89,0.58,3.03,8.3,143.2,74.1,1.48,0,LOW
PT-0538,Tripura,23.68702,91.58987,1557,18.06,170,0.56,7.58,0.42,0.55,1.03,64.6,160.7,84.6,3.0,0,LOW
PT-0539,Manipur,25.82459,93.86777,2162,27.29,301,0.8,8.41,2.18,0.46,3.05,72.0,244.9,98.0,1.13,0,MODERATE
PT-0540,Arunachal Pradesh,27.59153,91.83635,1839,39.63,333,0.8,2.88,0.62,0.42,3.03,61.3,81.0,64.5,1.03,0,MODERATE
PT-0541,Meghalaya,24.8236,92.30656,1816,33.59,308,0.85,5.92,0.44,0.41,1.2,22.3,153.8,83.6,1.91,0,LOW
PT-0542,Nagaland,25.70224,93.61659,2471,26.51,129,0.94,4.24,1.22,0.59,2.29,38.9,206.4,94.1,1.41,0,LOW
PT-0543,Nagaland,25.84342,94.32203,2326,36.67,107,0.98,3.77,0.75,0.52,2.8,3.6,133.5,74.6,1.08,0,MODERATE
PT-0544,Mizoram,23.99965,92.31476,2587,31.74,101,0.87,4.55,0.33,0.5,1.47,69.3,217.8,89.8,1.67,0,LOW
PT-0545,Manipur,25.18888,94.51557,2445,46.25,40,0.85,4.19,0.68,0.34,2.29,55.9,87.5,59.9,1.1,0,MODERATE
PT-0546,Sikkim,27.52839,88.94705,2332,46.99,3,0.86,3.84,2.12,0.32,2.07,32.2,102.7,69.4,1.13,0,MODERATE
PT-0547,Arunachal Pradesh,28.17933,92.23022,2152,54.34,193,0.84,10.75,1.93,0.35,1.01,23.1,175.9,87.9,1.86,1,SEVERE
PT-0548,Sikkim,27.45229,89.04281,2803,39.86,127,0.85,4.41,1.48,0.41,1.91,214.1,387.1,98.0,1.14,1,SEVERE
PT-0549,Sikkim,27.49053,89.04812,2161,54.01,347,0.87,4.33,0.94,0.32,1.18,134.0,302.6,98.0,1.59,1,SEVERE
PT-0550,Nagaland,25.96113,93.74264,2348,40.41,266,0.98,6.34,1.6,0.34,2.1,89.3,268.7,98.0,1.06,1,SEVERE
PT-0551,Tripura,23.52166,91.78554,2052,34.26,123,0.58,6.47,2.08,0.5,1.23,6.3,174.6,81.7,1.86,0,LOW
PT-0552,Manipur,25.57957,93.68445,2527,37.59,343,0.81,3.36,1.22,0.47,1.2,44.2,212.9,94.5,1.71,1,SEVERE
